City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Souillac,MU,2022-02-01 18:27:06,-20.5167,57.5167,80.98,89,75,20.71
271,Diffa,NE,2022-02-01 18:27:07,13.3154,12.6113,65.05,21,2,7.47
272,Ankang,CN,2022-02-01 18:27:07,32.68,109.0172,36.37,78,100,2.98
273,Tautira,PF,2022-02-01 18:27:07,-17.7333,-149.15,82.42,79,39,20.56
274,Zeya,RU,2022-02-01 18:27:08,53.75,127.2667,-6.56,86,27,5.46
275,Faanui,PF,2022-02-01 18:28:08,-16.4833,-151.75,80.69,75,12,19.24
276,Pacific Grove,US,2022-02-01 18:28:09,36.6177,-121.9166,57.11,61,0,1.01
277,Tambilil,PH,2022-02-01 18:28:09,5.9622,124.6697,77.58,76,97,3.4
278,Vodnyy,RU,2022-02-01 18:28:09,63.5046,53.4095,12.27,96,98,6.38
279,Nagato,JP,2022-02-01 18:28:10,34.3833,131.2,40.91,63,7,7.2
280,Horasan,TR,2022-02-01 18:28:10,40.0458,42.1728,9.52,94,51,2.08
281,Parana,AR,2022-02-01 18:28:10,-31.732,-60.5238,95.58,41,3,4.85
282,Verkhoyansk,RU,2022-02-01 18:28:11,67.5447,133.385,-17.93,98,100,0.81
283,Pattani,TH,2022-02-01 18:28:11,6.75,100.4167,78.22,91,51,4.38
284,Agadez,NE,2022-02-01 18:28:11,19.75,10.25,58.68,19,0,5.19
285,Awjilah,LY,2022-02-01 18:28:12,29.1081,21.2869,60.1,34,65,10.58
286,Karratha,AU,2022-02-01 18:28:12,-20.7377,116.8463,85.15,67,100,6.6
287,Iquique,CL,2022-02-01 18:28:12,-20.2208,-70.1431,71.69,68,1,8.34
288,Bahia Blanca,AR,2022-02-01 18:28:13,-38.7196,-62.2724,95.31,17,29,13.91
289,Antofagasta,CL,2022-02-01 18:28:13,-23.65,-70.4,72.21,62,3,9.71
290,Karla,EE,2022-02-01 18:28:13,59.3723,24.9275,22.71,87,100,4.61
291,Mananjary,MG,2022-02-01 18:28:14,-21.2167,48.3333,76.24,84,10,6.85
292,Diamantino,BR,2022-02-01 18:28:14,-14.4086,-56.4461,75.65,91,98,9.48
293,Angoche,MZ,2022-02-01 18:28:14,-16.2325,39.9086,78.17,81,1,7.99
